trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
192,short,2450.98,2456.98,2437.59,2456.98,-6.00,SL_HIT,10,2.2
193,short,2458.50,2464.50,2443.14,2443.14,15.36,TP_HIT,3,2.6
194,short,2447.14,2453.14,2435.59,2435.59,11.55,TP_HIT,44,1.9
195,long,2440.29,2434.29,2449.55,2449.55,9.26,TP_HIT,49,1.5
196,long,2460.68,2454.68,2470.57,2470.57,9.89,TP_HIT,83,1.6
197,long,2434.69,2428.69,2444.37,2444.37,9.68,TP_HIT,16,1.6
198,long,2447.47,2441.47,2457.57,2457.57,10.11,TP_HIT,7,1.7
199,long,2395.44,2389.44,2404.88,2404.88,9.43,TP_HIT,4,1.6
200,short,2396.93,2402.93,2384.21,2384.21,12.72,TP_HIT,11,2.1
201,long,2390.05,2384.05,2399.08,2384.05,-6.00,SL_HIT,61,1.5
202,long,2388.96,2382.96,2397.99,2397.99,9.03,TP_HIT,76,1.5
203,long,2401.32,2395.32,2419.38,2395.32,-6.00,SL_HIT,41,3.0
204,long,2393.73,2393.73,2413.83,2413.83,20.10,TP_HIT,93,3.3
205,short,2415.39,2421.39,2403.91,2421.39,-6.00,SL_HIT,19,1.9
206,long,2419.72,2413.72,2428.88,2428.88,9.16,TP_HIT,39,1.5
207,short,2430.69,2436.69,2419.41,2436.69,-6.00,SL_HIT,98,1.9
208,long,2449.41,2449.41,2469.06,2469.06,19.65,TP_HIT,54,3.3
209,short,2466.47,2472.47,2455.47,2472.47,-6.00,SL_HIT,149,1.8
210,long,2470.36,2464.36,2493.40,2464.36,-6.00,SL_HIT,7,3.8
211,long,2471.38,2465.38,2480.79,2465.38,-6.00,SL_HIT,53,1.6
212,long,2457.52,2457.52,2476.19,2457.52,0.00,SL_HIT,75,3.1
213,long,2457.91,2451.91,2467.94,2451.91,-6.00,SL_HIT,123,1.7
214,long,2456.90,2456.90,2475.32,2475.32,18.42,TP_HIT,77,3.1
215,long,2493.84,2487.84,2506.45,2487.84,-6.00,SL_HIT,3,2.1
216,long,2492.06,2492.06,2513.53,2492.06,0.00,SL_HIT,163,3.6
217,long,2497.84,2491.84,2508.33,2508.33,10.49,TP_HIT,197,1.7
218,long,2519.18,2513.18,2530.16,2530.16,10.98,TP_HIT,51,1.8
219,long,2528.50,2522.50,2538.34,2522.50,-6.00,SL_HIT,6,1.6
220,long,2519.24,2513.24,2538.05,2513.24,-6.00,SL_HIT,14,3.1
221,long,2514.36,2508.36,2525.22,2508.36,-6.00,SL_HIT,77,1.8
222,long,2481.45,2475.45,2491.53,2491.53,10.08,TP_HIT,94,1.7
223,long,2504.94,2504.94,2528.96,2504.94,0.00,SL_HIT,3,4.0
224,long,2515.90,2509.90,2535.13,2509.90,-6.00,SL_HIT,204,3.2
225,long,2515.73,2509.73,2525.12,2509.73,-6.00,SL_HIT,12,1.6
226,long,2513.50,2507.50,2523.07,2523.07,9.57,TP_HIT,52,1.6
227,long,2522.86,2516.86,2544.70,2516.86,-6.00,SL_HIT,104,3.6
228,long,2521.08,2515.08,2550.54,2515.08,-6.00,SL_HIT,53,4.9
229,long,2502.55,2496.55,2521.27,2496.55,-6.00,SL_HIT,31,3.1
230,long,2506.32,2500.32,2516.06,2500.32,-6.00,SL_HIT,6,1.6
231,long,2501.01,2495.01,2520.39,2495.01,-6.00,SL_HIT,26,3.2
232,long,2500.20,2494.20,2510.79,2494.20,-6.00,SL_HIT,4,1.8
233,long,2489.14,2483.14,2499.09,2483.14,-6.00,SL_HIT,18,1.7
234,long,2483.43,2483.43,2503.77,2483.43,0.00,SL_HIT,176,3.4
235,short,2491.98,2497.98,2476.14,2497.98,-6.00,SL_HIT,6,2.6
236,long,2521.30,2515.30,2531.69,2515.30,-6.00,SL_HIT,4,1.7
237,long,2514.09,2508.09,2535.33,2508.09,-6.00,SL_HIT,1,3.5
238,long,2501.60,2495.60,2520.49,2495.60,-6.00,SL_HIT,26,3.1
239,long,2501.07,2495.07,2511.05,2511.05,9.98,TP_HIT,235,1.7
240,long,2522.11,2516.11,2540.28,2516.11,-6.00,SL_HIT,126,3.0
241,long,2509.22,2503.22,2518.46,2503.22,-6.00,SL_HIT,6,1.5
242,long,2511.79,2505.79,2522.57,2522.57,10.78,TP_HIT,241,1.8
243,long,2532.54,2526.54,2561.08,2526.54,-6.00,SL_HIT,2,4.8
244,long,2538.13,2538.13,2558.86,2558.86,20.73,TP_HIT,76,3.5
245,long,2563.44,2563.44,2582.36,2582.36,18.92,TP_HIT,151,3.2
246,long,2582.00,2576.00,2606.45,2576.00,-6.00,SL_HIT,43,4.1
247,long,2581.43,2575.43,2591.82,2575.43,-6.00,SL_HIT,35,1.7
248,long,2573.67,2567.67,2583.35,2567.67,-6.00,SL_HIT,88,1.6
249,long,2580.75,2580.75,2648.81,2580.75,0.00,SL_HIT,6,11.3
250,long,2563.96,2557.96,2574.19,2574.19,10.23,TP_HIT,38,1.7
251,long,2588.88,2588.88,2607.30,2607.30,18.42,TP_HIT,169,3.1
252,long,2613.25,2607.25,2631.89,2607.25,-6.00,SL_HIT,31,3.1
253,short,2607.71,2613.71,2598.14,2613.71,-6.00,SL_HIT,2,1.6
254,long,2617.28,2611.28,2628.91,2628.91,11.62,TP_HIT,78,1.9
255,long,2621.23,2615.23,2630.39,2630.39,9.16,TP_HIT,39,1.5
256,long,2628.96,2622.96,2639.90,2639.90,10.94,TP_HIT,172,1.8
257,long,2633.20,2627.20,2643.37,2627.20,-6.00,SL_HIT,12,1.7
