trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
153,long,1208.58,1202.58,1219.30,1219.30,10.73,TP_HIT,241,1.8
154,long,1223.00,1217.00,1232.41,1222.38,-0.62,MAX_HOLD,288,1.6
155,long,1209.91,1209.91,1229.71,1229.71,19.80,TP_HIT,214,3.3
156,long,1237.62,1237.62,1259.52,1245.20,7.58,MAX_HOLD,288,3.7
157,long,1228.37,1222.37,1248.85,1222.37,-6.00,SL_HIT,179,3.4
158,long,1230.82,1224.82,1240.30,1228.68,-2.14,MAX_HOLD,288,1.6
159,long,1238.29,1232.29,1249.12,1249.12,10.83,TP_HIT,45,1.8
160,long,1254.55,1248.55,1270.90,1248.55,-6.00,SL_HIT,287,2.7
161,long,1237.40,1231.40,1256.75,1237.93,0.53,MAX_HOLD,288,3.2
162,short,1240.66,1246.66,1228.47,1228.47,12.20,TP_HIT,7,2.0
163,long,1229.28,1223.28,1238.35,1238.35,9.07,TP_HIT,255,1.5
164,long,1251.27,1245.27,1276.32,1245.27,-6.00,SL_HIT,273,4.2
165,long,1241.86,1235.86,1262.47,1235.86,-6.00,SL_HIT,235,3.4
166,long,1206.36,1200.36,1215.81,1208.53,2.17,MAX_HOLD,288,1.6
167,short,1199.11,1199.11,1184.78,1193.68,5.42,MAX_HOLD,288,2.4
168,long,1199.94,1193.94,1210.21,1193.94,-6.00,SL_HIT,228,1.7
169,long,1210.51,1204.51,1221.66,1210.13,-0.38,MAX_HOLD,288,1.9
170,short,1199.82,1199.82,1178.42,1178.42,21.39,TP_HIT,238,3.6
171,long,1195.53,1189.53,1216.02,1189.53,-6.00,SL_HIT,30,3.4
172,short,1168.70,1174.70,1149.95,1174.70,-6.00,SL_HIT,25,3.1
173,short,1178.10,1184.10,1167.90,1184.10,-6.00,SL_HIT,41,1.7
174,long,1188.58,1182.58,1207.03,1196.63,8.05,MAX_HOLD,288,3.1
175,long,1202.27,1196.27,1220.27,1196.27,-6.00,SL_HIT,41,3.0
176,long,1203.74,1197.74,1215.10,1197.74,-6.00,SL_HIT,32,1.9
177,long,1225.06,1219.06,1243.63,1224.90,-0.16,MAX_HOLD,288,3.1
178,long,1246.14,1240.14,1256.45,1249.15,3.01,MAX_HOLD,288,1.7
179,long,1258.69,1258.69,1277.68,1268.15,9.46,MAX_HOLD,288,3.2
180,long,1271.76,1265.76,1290.15,1277.85,6.09,MAX_HOLD,288,3.1
181,long,1304.92,1298.92,1332.07,1310.33,5.41,MAX_HOLD,288,4.5
182,long,1316.08,1310.08,1338.13,1314.20,-1.88,MAX_HOLD,288,3.7
183,long,1321.00,1315.00,1330.15,1330.15,9.15,TP_HIT,59,1.5
184,long,1335.57,1335.57,1354.38,1347.53,11.96,MAX_HOLD,288,3.1
185,long,1356.75,1350.75,1375.26,1350.75,-6.00,SL_HIT,81,3.1
186,long,1346.99,1340.99,1368.65,1340.99,-6.00,SL_HIT,188,3.6
187,long,1346.89,1340.89,1359.04,1340.89,-6.00,SL_HIT,217,2.0
